code_name,n_cycles,fnc,b_readout_flip,unique_id,name,decoder_id,prep,id_s,id_l,cnot,meas,bias,flip,leak,seep,back,corr,duration,bad_shots,shot_time,cycle_err,shots_err,mean_ground,mean_leaked,bp_converged,bp_iterations,n_shots,rand_seed,bp_method,bp_max_iterations,osd_method,osd_order,ms_scaling_factor,b_initial_state,leaked_population,decoder_noise_model
144.12.12,4,2,True,daa90789bebf4d6087cc39e38be5b453,"leaked init, no corr, medium errors, scan cycles",19e3e8dc6bba487dbefc68ecc744043a,0.001,0.001,0.005,0.001,0.02,0.005,0.0002,0.002,0.2,0.025,0.0,10462.755089,20,0.041851020356,2e-05,4.472091233416421e-06,0.9403189861111112,0.0006422013888888,0.991602,7.766966,250000,42,ms,200,osd_cs,7,0,True,0.0007,"{'prep': 0.001, 'id_s': 0.001, 'id_l': 0.005, 'cnot': 0.001, 'meas': 0.02, 'bias': None, 'flip': None, 'leak': None, 'seep': None, 'back': None, 'corr': None}"
144.12.12,4,2,True,50d788390d224e469cafa4d5ddfc0680,"leaked init, no corr, high seep, medium errors, scan cycles",19e3e8dc6bba487dbefc68ecc744043a,0.001,0.001,0.005,0.001,0.02,0.005,0.0002,0.002,0.5,0.025,0.0,10640.35203,16,0.04256140812,1.6e-05,3.999967999871999e-06,0.9409305972222224,0.0002389791666666,0.991984,7.593996,250000,42,ms,200,osd_cs,7,0,True,0.00028,"{'prep': 0.001, 'id_s': 0.001, 'id_l': 0.005, 'cnot': 0.001, 'meas': 0.02, 'bias': None, 'flip': None, 'leak': None, 'seep': None, 'back': None, 'corr': None}"
144.12.12,4,2,False,232dee72de08474e9a80b1d107011363,"leaked init, no corr, high seep, medium errors, scan cycles",19e3e8dc6bba487dbefc68ecc744043a,0.001,0.001,0.005,0.001,0.02,0.005,0.0002,0.002,0.5,0.025,0.0,11621.308822,31,0.046485235288,3.1e-05,5.56767806181356e-06,0.4999697986111112,0.0020027569444444,0.986634,9.335146,250000,42,ms,200,osd_cs,7,0,True,0.002,"{'prep': 0.001, 'id_s': 0.001, 'id_l': 0.005, 'cnot': 0.001, 'meas': 0.02, 'bias': None, 'flip': None, 'leak': None, 'seep': None, 'back': None, 'corr': None}"
144.12.12,6,2,True,af451f4ce9974b0584289faa866a4599,"leaked init, no corr, medium errors, scan cycles",050a4f52926545ed855f8f3ef3b98c25,0.001,0.001,0.005,0.001,0.02,0.005,0.0002,0.002,0.2,0.025,0.0,12269.465213,23,0.0736170857463429,2.3000092000368e-05,4.795795553894677e-06,0.9354015541062164,0.000656738738066,0.9842229368917476,11.7062358249433,166666,42,ms,200,osd_cs,7,0,True,0.0007,"{'prep': 0.001, 'id_s': 0.001, 'id_l': 0.005, 'cnot': 0.001, 'meas': 0.02, 'bias': None, 'flip': None, 'leak': None, 'seep': None, 'back': None, 'corr': None}"
144.12.12,6,2,True,d0cbadce24bb4629aef708e477e7bd3c,"leaked init, no corr, high seep, medium errors, scan cycles",050a4f52926545ed855f8f3ef3b98c25,0.001,0.001,0.005,0.001,0.02,0.005,0.0002,0.002,0.5,0.025,0.0,12232.741732,23,0.0733967439789759,2.3000092000368e-05,4.795795553894677e-06,0.9360161329534208,0.0002532649019484,0.985242940971764,11.3500594002376,166666,42,ms,200,osd_cs,7,0,True,0.00028,"{'prep': 0.001, 'id_s': 0.001, 'id_l': 0.005, 'cnot': 0.001, 'meas': 0.02, 'bias': None, 'flip': None, 'leak': None, 'seep': None, 'back': None, 'corr': None}"
144.12.12,4,2,False,3b646cd3d18d4a719ba5963ed2a98759,"leaked init, no corr, medium errors, scan cycles",19e3e8dc6bba487dbefc68ecc744043a,0.001,0.001,0.005,0.001,0.02,0.005,0.0002,0.002,0.2,0.025,0.0,15149.692493,64,0.060598769972,6.4e-05,7.99974399590387e-06,0.4996982083333334,0.0049868402777777,0.964156,14.906112,250000,42,ms,200,osd_cs,7,0,True,0.005,"{'prep': 0.001, 'id_s': 0.001, 'id_l': 0.005, 'cnot': 0.001, 'meas': 0.02, 'bias': None, 'flip': None, 'leak': None, 'seep': None, 'back': None, 'corr': None}"
144.12.12,6,2,False,703e724a9afb4862ae5bb8107043bbd6,"leaked init, no corr, high seep, medium errors, scan cycles",050a4f52926545ed855f8f3ef3b98c25,0.001,0.001,0.005,0.001,0.02,0.005,0.0002,0.002,0.5,0.025,0.0,15175.143294,42,0.0910512239688958,4.2000168000672006e-05,6.480630523401858e-06,0.5000850003400014,0.0019948621461152,0.9721508886035544,14.799743198972797,166666,42,ms,200,osd_cs,7,0,True,0.002,"{'prep': 0.001, 'id_s': 0.001, 'id_l': 0.005, 'cnot': 0.001, 'meas': 0.02, 'bias': None, 'flip': None, 'leak': None, 'seep': None, 'back': None, 'corr': None}"
144.12.12,8,2,True,8d24fe41ea964fb8bdff6ca99352822d,"leaked init, no corr, high seep, medium errors, scan cycles",c3cace7369764e43bbd3d2304e3e9435,0.001,0.001,0.005,0.001,0.02,0.005,0.0002,0.002,0.5,0.025,0.0,15883.554426,31,0.127068435408,3.1e-05,5.56767806181356e-06,0.933543777777778,0.0002614722222222,0.977864,14.947364,125000,42,ms,200,osd_cs,7,0,True,0.00028,"{'prep': 0.001, 'id_s': 0.001, 'id_l': 0.005, 'cnot': 0.001, 'meas': 0.02, 'bias': None, 'flip': None, 'leak': None, 'seep': None, 'back': None, 'corr': None}"
144.12.12,8,2,True,9508b8df6e3c4d448b4a03739623e87b,"leaked init, no corr, medium errors, scan cycles",c3cace7369764e43bbd3d2304e3e9435,0.001,0.001,0.005,0.001,0.02,0.005,0.0002,0.002,0.2,0.025,0.0,16320.394368,32,0.130563154944,3.2e-05,5.656763739100299e-06,0.9329420833333332,0.0006592013888888,0.976112,15.48542,125000,42,ms,200,osd_cs,7,0,True,0.0007,"{'prep': 0.001, 'id_s': 0.001, 'id_l': 0.005, 'cnot': 0.001, 'meas': 0.02, 'bias': None, 'flip': None, 'leak': None, 'seep': None, 'back': None, 'corr': None}"
144.12.12,10,2,True,6b834ab7e7c0428e8ce0a048733d2e12,"leaked init, no corr, high seep, medium errors, scan cycles",919e4a1fe07d4944bf6b9d7c1b523fb2,0.001,0.001,0.005,0.001,0.02,0.005,0.0002,0.002,0.5,0.025,0.0,19905.153635,34,0.1990515363499999,3.4e-05,5.830852767820501e-06,0.9321090902777776,0.0002648472222222,0.970685,18.27012,100000,42,ms,200,osd_cs,7,0,True,0.00028,"{'prep': 0.001, 'id_s': 0.001, 'id_l': 0.005, 'cnot': 0.001, 'meas': 0.02, 'bias': None, 'flip': None, 'leak': None, 'seep': None, 'back': None, 'corr': None}"
